fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2020-03-15;León;47;14;1;1;24089;42.666667,-6.0
2020-03-15;Palencia;5;2;0;0;34120;42.432128,-4.520647
2020-03-15;Segovia;27;5;0;1;40004;41.166667,-4.0
2020-03-15;Zamora;8;3;0;0;49275;41.75,-6.0
2020-03-16;Zamora;12;4;0;0;49275;41.75,-6.0
2020-03-14;Ávila;10;7;0;0;5019;40.616092,-4.929031
2020-03-14;León;33;1;1;0;24089;42.666667,-6.0
2020-03-14;Salamanca;12;1;1;2;37274;40.833333,-6.0
2020-03-14;Valladolid;21;10;0;0;47186;41.583333,-4.666667
2020-03-14;Zamora;5;0;0;0;49275;41.75,-6.0
2020-03-13;Ávila;3;3;0;0;5019;40.616092,-4.929031
2020-03-13;León;32;22;0;0;24089;42.666667,-6.0
2020-03-13;Palencia;1;1;0;0;34120;42.432128,-4.520647
2020-03-13;Valladolid;11;7;0;0;47186;41.583333,-4.666667
2020-03-17;Ávila;18;1;1;0;5019;40.616092,-4.929031
2020-03-17;Palencia;7;1;1;0;34120;42.432128,-4.520647
2020-03-17;Valladolid;74;18;0;0;47186;41.583333,-4.666667
2020-03-17;Zamora;16;4;0;0;49275;41.75,-6.0
2020-03-18;Soria;40;23;4;4;42173;41.666667,-2.666667
2020-03-18;Valladolid;82;8;0;0;47186;41.583333,-4.666667
2020-03-19;León;134;28;3;5;24089;42.666667,-6.0
2020-03-19;Segovia;121;45;3;7;40004;41.166667,-4.0
2020-03-19;Zamora;31;5;1;1;49275;41.75,-6.0
2020-03-20;Ávila;63;4;4;4;5019;40.616092,-4.929031
2020-03-20;Burgos;208;21;21;12;9059;42.383333,-3.666667
2020-03-20;León;164;30;3;5;24089;42.666667,-6.0
2020-03-20;Palencia;26;12;1;0;34120;42.432128,-4.520647
2020-03-21;Ávila;114;51;14;7;5019;40.616092,-4.929031
2020-03-21;León;201;37;3;7;24089;42.666667,-6.0
2020-03-21;Palencia;41;15;2;0;34120;42.432128,-4.520647
2020-03-21;Salamanca;265;62;13;15;37274;40.833333,-6.0
2020-03-21;Soria;119;39;5;6;42173;41.666667,-2.666667
2020-03-22;Palencia;50;9;2;0;34120;42.432128,-4.520647
2020-03-22;Segovia;194;37;14;20;40004;41.166667,-4.0
2020-03-23;Burgos;336;34;29;18;9059;42.383333,-3.666667
2020-03-23;Segovia;223;29;24;23;40004;41.166667,-4.0
2020-03-23;Soria;140;5;8;11;42173;41.666667,-2.666667
2020-03-23;Valladolid;349;47;17;14;47186;41.583333,-4.666667
2020-03-24;Valladolid;410;61;24;17;47186;41.583333,-4.666667
2020-03-25;Palencia;91;19;11;3;34120;42.432128,-4.520647
2020-03-25;Segovia;300;39;47;34;40004;41.166667,-4.0
2020-03-26;León;516;78;48;46;24089;42.666667,-6.0
2020-03-26;Segovia;361;61;62;37;40004;41.166667,-4.0
2020-03-26;Valladolid;598;97;50;27;47186;41.583333,-4.666667
2020-03-27;Palencia;170;31;20;9;34120;42.432128,-4.520647
2020-03-27;Zamora;124;18;27;12;49275;41.75,-6.0
2020-03-28;Ávila;381;39;78;38;5019;40.616092,-4.929031
2020-03-28;Salamanca;882;106;131;84;37274;40.833333,-6.0
2020-03-28;Soria;431;59;49;26;42173;41.666667,-2.666667
2020-03-29;Ávila;414;33;82;41;5019;40.616092,-4.929031
2020-03-29;Burgos;719;46;137;49;9059;42.383333,-3.666667
2020-03-29;León;821;95;118;77;24089;42.666667,-6.0
2020-03-29;Valladolid;886;79;127;57;47186;41.583333,-4.666667
2020-03-29;Zamora;192;24;30;18;49275;41.75,-6.0
2020-03-30;Burgos;749;30;176;61;9059;42.383333,-3.666667
2020-03-30;Zamora;209;17;36;20;49275;41.75,-6.0
2020-03-31;Ávila;467;21;111;54;5019;40.616092,-4.929031
2020-03-31;Burgos;790;41;215;69;9059;42.383333,-3.666667
2020-03-31;Valladolid;988;59;187;77;47186;41.583333,-4.666667
2020-03-15;Burgos;119;8;0;4;9059;42.383333,-3.666667
2020-03-16;Ávila;17;7;0;0;5019;40.616092,-4.929031
2020-03-16;Segovia;33;6;0;3;40004;41.166667,-4.0
2020-03-16;Valladolid;56;16;0;0;47186;41.583333,-4.666667
2020-03-13;Burgos;90;29;0;1;9059;42.383333,-3.666667
2020-03-13;Salamanca;11;5;1;1;37274;40.833333,-6.0
2020-03-13;Zamora;5;3;0;0;49275;41.75,-6.0
2020-03-17;León;75;28;2;3;24089;42.666667,-6.0
2020-03-17;Salamanca;65;33;4;6;37274;40.833333,-6.0
2020-03-18;Ávila;42;24;1;1;5019;40.616092,-4.929031
2020-03-18;León;106;31;3;4;24089;42.666667,-6.0
2020-03-18;Palencia;6;-1;1;0;34120;42.432128,-4.520647
2020-03-18;Segovia;76;43;3;6;40004;41.166667,-4.0
2020-03-19;Ávila;59;17;2;2;5019;40.616092,-4.929031
2020-03-19;Burgos;187;22;14;8;9059;42.383333,-3.666667
2020-03-19;Valladolid;115;33;1;3;47186;41.583333,-4.666667
2020-03-20;Salamanca;203;54;10;13;37274;40.833333,-6.0
2020-03-21;Burgos;269;61;27;14;9059;42.383333,-3.666667
2020-03-21;Segovia;157;1;9;13;40004;41.166667,-4.0
2020-03-22;Ávila;143;29;16;9;5019;40.616092,-4.929031
2020-03-22;Burgos;302;33;28;16;9059;42.383333,-3.666667
2020-03-22;León;233;32;10;14;24089;42.666667,-6.0
2020-03-22;Salamanca;315;50;20;21;37274;40.833333,-6.0
2020-03-22;Zamora;70;11;4;3;49275;41.75,-6.0
2020-03-23;Palencia;64;14;2;0;34120;42.432128,-4.520647
2020-03-23;Zamora;90;20;5;4;49275;41.75,-6.0
2020-03-24;Ávila;201;42;23;15;5019;40.616092,-4.929031
2020-03-24;Burgos;392;56;41;24;9059;42.383333,-3.666667
2020-03-24;Palencia;72;8;13;1;34120;42.432128,-4.520647
2020-03-24;Soria;179;39;14;13;42173;41.666667,-2.666667
2020-03-24;Zamora;100;10;11;7;49275;41.75,-6.0
2020-03-25;Ávila;226;25;36;21;5019;40.616092,-4.929031
2020-03-25;Soria;263;84;19;14;42173;41.666667,-2.666667
2020-03-25;Valladolid;501;91;36;21;47186;41.583333,-4.666667
2020-03-25;Zamora;103;3;16;8;49275;41.75,-6.0
2020-03-26;Ávila;270;44;53;27;5019;40.616092,-4.929031
2020-03-26;Soria;339;76;32;16;42173;41.666667,-2.666667
2020-03-26;Zamora;106;3;24;9;49275;41.75,-6.0
2020-03-27;Ávila;342;72;63;33;5019;40.616092,-4.929031
2020-03-27;Segovia;424;63;92;44;40004;41.166667,-4.0
2020-03-28;León;726;98;99;67;24089;42.666667,-6.0
2020-03-28;Segovia;503;79;111;51;40004;41.166667,-4.0
2020-03-28;Zamora;168;44;27;16;49275;41.75,-6.0
