CodigoProvincia-CodigoMunicipio;NombreMunicipio;Población
47-001;Adalia;53
47-002;Aguasal;19
47-003;Aguilar de Campos;243
47-004;Alaejos;1369
47-005;Alcazarén;635
47-006;Aldea de San Miguel;224
47-007;Aldeamayor de San Martín;5524
47-008;Almenara de Adaja;22
47-009;Amusquillo;103
47-010;Arroyo de la Encomienda;20179
47-011;Ataquines;583
47-012;Bahabón;108
47-013;Barcial de la Loma;92
47-014;Barruelo del Valle;52
47-015;Becilla de Valderaduey;238
47-016;Benafarces;72
47-017;Bercero;207
47-018;Berceruelo;36
47-019;Berrueces;109
47-020;Bobadilla del Campo;293
47-021;Bocigas;80
47-022;Bocos de Duero;75
47-023;Boecillo;4206
47-024;Bolaños de Campos;291
47-025;Brahojos de Medina;117
47-026;Bustillo de Chaves;69
47-027;Cabezón de Pisuerga;3713
47-028;Cabezón de Valderaduey;33
47-029;Cabreros del Monte;62
47-030;Campaspero;1079
47-031;Campillo, El;222
47-032;Camporredondo;157
47-033;Canalejas de Peñafiel;231
47-034;Canillas de Esgueva;75
47-035;Carpio;1016
47-036;Casasola de Arión;249
47-037;Castrejón de Trabancos;174
47-038;Castrillo de Duero;111
47-039;Castrillo-Tejeriego;171
47-040;Castrobol;61
47-041;Castrodeza;160
47-042;Castromembibre;54
47-043;Castromonte;320
47-044;Castronuevo de Esgueva;369
47-045;Castronuño;828
47-046;Castroponce;143
47-047;Castroverde de Cerrato;221
47-048;Ceinos de Campos;211
47-049;Cervillego de la Cruz;90
47-050;Cigales;5235
47-051;Ciguñuela;369
47-052;Cistérniga;9034
47-053;Cogeces de Íscar;141
47-054;Cogeces del Monte;685
47-055;Corcos;201
47-056;Corrales de Duero;105
47-057;Cubillas de Santa Marta;326
47-058;Cuenca de Campos;224
47-059;Curiel de Duero;123
47-060;Encinas de Esgueva;248
47-061;Esguevillas de Esgueva;271
47-062;Fombellida;173
47-063;Fompedraza;99
47-064;Fontihoyuelo;38
47-065;Fresno el Viejo;885
47-066;Fuensaldaña;1773
47-067;Fuente el Sol;156
47-068;Fuente-Olmedo;34
47-069;Gallegos de Hornija;122
47-070;Gatón de Campos;33
47-071;Geria;509
47-073;Herrín de Campos;122
47-074;Hornillos de Eresma;165
47-075;Íscar;6344
47-076;Laguna de Duero;22725
47-077;Langayo;248
47-079;Llano de Olmedo;59
47-078;Lomoviejo;176
47-080;Manzanillo;52
47-081;Marzales;45
47-082;Matapozuelos;1058
47-083;Matilla de los Caños;102
47-084;Mayorga;1509
47-086;Medina de Rioseco;4647
